iso,region_dev,region_ar6_6,pop,pop_density,forest_pct,gdp,gdppc,summer_vpd,pop_forest,hvi,log_vpd,log_pdforest,log_hvi,damage,damage_gdp_weighted,weights
ECU,developing,LAM,12369097.0,47.88644289431315,0.524873226437966,52536816206.674965,3765.773791935305,9.438009064374524,190879.81549591967,0.28278191489361704,2.244745053726973,12.15939927073404,-1.2630792968150022,511054463.50836176,1.7544439183481275,12.025188916876575
ESP,developed,DEV,44131078.88888889,88.3506423464276,0.3484824804566167,1056284380380.3513,23366.818340827303,18.912818232143096,162562.04418014348,0.1499932432432432,2.9398399055290545,11.998815018220254,-1.8971650302787884,1012112933.2139388,0.11953916255493341,17.178841309823678
ETH,ldc,AFR,67031867.0,67.031867,0.185285,8242349617.863806,122.961659681414,19.252179560048333,208775.20318675303,0.7130000000000001,2.95762427822826,12.249013369254117,-0.33827385842758856,492857162.94592845,5.979571187780599,32.79596977329975
FRA,developed,DEV,60843644.875,111.10924800302679,0.2819333165528743,1509288957411.4614,24005.85724744419,11.348083891800963,185640.57618957607,0.14711486486486483,2.4290489095788637,12.131567697151072,-1.9165416030141924,824219433.8851805,0.06767724420253947,17.178841309823678
GRC,developed,DEV,10629568.8,82.46368347556245,0.2884270093095423,197187555274.91766,18385.189734575917,16.1671856665974,139451.7853658002,0.15699391891891884,2.782983611854719,11.845474195883684,-1.8515482067475206,855061605.1429634,0.4891721890765929,17.178841309823678
HND,developing,LAM,8467535.0,75.6773170077755,0.586137277683439,17837679854.95451,1925.6641600922098,8.767253423495935,189296.6043870925,0.4115,2.171023578724072,12.151070399303265,-0.8879462586219993,517010977.7587277,4.5236663444449015,12.025188916876575
HRV,developed,DEV,4301612.25,76.88248100522975,0.34054756236300093,43191100134.47636,10124.85279337988,14.055903340553932,140458.1643048198,0.19774999999999998,2.6430424741290746,11.852664960460729,-1.620751671828685,267290807.3847156,0.49344564135017227,17.178841309823678
IDN,developing,APC,215410356.6,117.04977921605959,0.5708978307206303,296866277310.17596,1270.8365939600092,7.035432545168253,304527.2649039101,0.3974,1.9509591734336342,12.62651590203795,-0.922811948612785,3743261808.0216537,1.929251808703588,12.025188916876575
IND,developing,APC,1249379900.0,420.21529064741907,0.2353782749616853,1818848981575.9133,1376.539574502637,16.031645147500488,1042777.3007538732,0.41,2.7745645906505376,13.857398193211425,-0.8915981190398812,1089080346.7790062,0.07925500885090143,12.025188916876575
IRN,developing,MEA,67327117.0,41.33642586998698,0.0589339374739065,128626917504.3978,1910.4771336696,36.45401522828416,91646.19624840676,0.299,3.596051609545129,11.425690749388648,-1.2073117052570024,537006985.3134351,0.4174919182799157,12.025188916876575
ISR,developed,MEA,7732425.0,357.32093345656193,0.06660120147874302,269656876779.61307,33180.13612008742,22.086849928255432,641132.3982517786,0.1162499999999999,3.094982405559291,13.370991264109145,-2.152012233654457,415295158.27740574,0.14280154352481989,17.178841309823678
ITA,developed,DEV,56708904.666666664,192.81528906418234,0.26159203472623616,907827238530.777,15998.663503085836,11.760822264087219,274565.56222042564,0.1896599099099098,2.4647738604502454,12.522945353746495,-1.6625227580077935,1619815537.3511655,0.1661423684479136,17.178841309823678
JPN,developed,DEV,127445000.0,349.64334705075447,0.682962962962963,4182846045873.6055,32820.7936433254,6.7159625310811,626741.5789058993,0.118,1.9044871601617774,13.348289579800875,-2.137070653669015,1374078640.6552424,0.0328503278768956,17.178841309823678
KAZ,developing,EEA,17478188.5,6.474122495092047,0.01230218302033555,123831130494.22984,6468.76758781569,22.346673903474233,9166.444141077594,0.32678191489361696,3.106677491352961,9.1233047191731,-1.1184622572044003,544079571.6607479,1.3550949691200485,12.025188916876575
KOR,developing,APC,49716041.166666664,511.6330363242912,0.655347096007279,1217251981923.417,24150.53679709627,8.24000619333171,998670.4001671444,0.19552127659574467,2.10900109555116,13.814180073429274,-1.6320860732752136,758175585.2523108,0.07009126725651536,12.025188916876575
LBN,developing,MEA,4809608.0,470.1474095796676,0.134505376344086,24827355014.92537,5162.03295880358,18.622018642309143,835666.6696713027,0.248,2.9243446785618064,13.635985092067816,-1.3943265324139291,496417327.09534377,1.9994772975087938,12.025188916876575
MEX,developing,LAM,80233749.0,41.273566192546106,0.3631351114997814,221403098266.7696,2759.47591912687,13.072040632937163,216439.99527680743,0.316563829787234,2.5704756465152916,12.285068629934493,-1.1502303835221455,196415000.0,0.08871375402494988,12.025188916876575
MKD,developed,DEV,2045721.0,80.78327669711416,0.38682247967785177,8885607502.754755,4320.23093801209,16.577637115645082,182358.79491013673,0.2774999999999999,2.808054625422281,12.113731426004033,-1.2819343454352878,517763125.91744125,3.921882550330003,17.178841309823678
MMR,ldc,APC,32821779.0,50.22153043425039,0.6000930317960645,952265051.9924076,29.0132065051199,14.666421625059836,177438.90747751333,0.592,2.685560637735116,12.086381645427691,-0.5242486439292124,44357000.0,4.6580518635218855,32.79596977329975
MNG,developing,APC,2161433.0,1.396780978358108,0.0927468054822683,2560785660.000003,1184.76291423329,10.542053093516875,2467.989989497405,0.421,2.3553723148097157,7.811159328897727,-0.8651224450622259,246383000.0,9.621383150044652,12.025188916876575
MOZ,ldc,AFR,21845571.0,27.77991683410056,0.5012247513924566,12920340964.65434,591.439837606183,13.428384573237365,80278.20616061642,0.613,2.5973707183664065,11.293253457875082,-0.48939034288279354,513401157.43424493,3.973588304199834,32.79596977329975
MYS,developing,APC,20693033.0,62.982903667630495,0.6106288236189317,94355333102.28902,4555.71583827758,6.020475091229454,208242.7087503035,0.31049999999999994,1.7951661750322936,12.24645954741281,-1.1695713772865426,538093056.4840281,0.5717709728412057,12.025188916876575
