iso,region_dev,region_ar6_6,ssp,year,hdi
AUS,developed,DEV,ssp2,2055,0.922500771
AUS,developed,DEV,ssp3,2055,0.886706115
AUS,developed,DEV,ssp4,2055,0.902691236
AUS,developed,DEV,ssp5,2055,0.919845162
AUS,developed,DEV,ssp1,2060,0.921829997
AUS,developed,DEV,ssp2,2060,0.922191401
AUS,developed,DEV,ssp3,2060,0.8886783
AUS,developed,DEV,ssp4,2060,0.903158337
AUS,developed,DEV,ssp5,2060,0.915824931
AUS,developed,DEV,ssp1,2065,0.91919757
AUS,developed,DEV,ssp2,2065,0.921967338
AUS,developed,DEV,ssp3,2065,0.890550795
AUS,developed,DEV,ssp4,2065,0.903447913
AUS,developed,DEV,ssp5,2065,0.913174481
AUS,developed,DEV,ssp1,2070,0.917308661
AUS,developed,DEV,ssp2,2070,0.921887896
AUS,developed,DEV,ssp3,2070,0.892390504
AUS,developed,DEV,ssp4,2070,0.903571668
AUS,developed,DEV,ssp5,2070,0.911179061
AUT,developed,DEV,ssp1,2030,0.869862573
AUT,developed,DEV,ssp2,2030,0.866978699
AUT,developed,DEV,ssp3,2030,0.846498011
AUT,developed,DEV,ssp4,2030,0.837623031
AUT,developed,DEV,ssp5,2030,0.871823337
AUT,developed,DEV,ssp1,2035,0.874810962
AUT,developed,DEV,ssp2,2035,0.871707822
AUT,developed,DEV,ssp3,2035,0.849602997
AUT,developed,DEV,ssp4,2035,0.840857603
AUT,developed,DEV,ssp5,2035,0.878055941
AUT,developed,DEV,ssp1,2040,0.880007003
AUT,developed,DEV,ssp2,2040,0.87671615
AUT,developed,DEV,ssp3,2040,0.853164032
AUT,developed,DEV,ssp4,2040,0.844227323
AUT,developed,DEV,ssp5,2040,0.884784985
AUT,developed,DEV,ssp1,2045,0.884533233
AUT,developed,DEV,ssp2,2045,0.879975744
AUT,developed,DEV,ssp3,2045,0.856293564
AUT,developed,DEV,ssp4,2045,0.847153857
AUT,developed,DEV,ssp5,2045,0.890032264
AUT,developed,DEV,ssp1,2050,0.886247332
AUT,developed,DEV,ssp2,2050,0.882283062
AUT,developed,DEV,ssp3,2050,0.858487201
AUT,developed,DEV,ssp4,2050,0.849591403
AUT,developed,DEV,ssp5,2050,0.887021499
AUT,developed,DEV,ssp1,2055,0.885686467
AUT,developed,DEV,ssp2,2055,0.882447593
AUT,developed,DEV,ssp3,2055,0.85974958
AUT,developed,DEV,ssp4,2055,0.851371821
AUT,developed,DEV,ssp5,2055,0.882470212
AUT,developed,DEV,ssp1,2060,0.882614018
AUT,developed,DEV,ssp2,2060,0.882431586
AUT,developed,DEV,ssp3,2060,0.861252864
AUT,developed,DEV,ssp4,2060,0.851280331
AUT,developed,DEV,ssp5,2060,0.879496887
AUT,developed,DEV,ssp1,2065,0.88077727
AUT,developed,DEV,ssp2,2065,0.882696289
AUT,developed,DEV,ssp3,2065,0.862688567
AUT,developed,DEV,ssp4,2065,0.851152635
