"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11810","12000","12440","13060","13320","13280","13230","13230","13280","13910","14440","15050","16050","17564","17519","17488","17463","17350","16981","16830","16830","16807","16767","16768","16761","16773","16770","16760","16748.2","",
"American Samoa","ASM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.64","19.98","20.32","20.66","21","21.34","21.68","22.02","22.36","22.7","23","23.3","23.6","23.9","24.2","24.5","24.8","25.1","25.4","25.7","26","26.3","26.6","26.9","27.2","27.5","27.8","28.1","28.4","28.7","29","",
"Antigua and Barbuda","ATG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","100","90","90","90","90","90","90","90","90","90","100","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","",
"Australia","AUS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4744844.445","4765929.315","4793695.782","4819038.096","4862591.91","4870285.257","4895805.639","5135695.611","5108880.189","4934324.985","4995361.667","4998150","4978970","5003570","4995470","5007420","4915100","4961000","4932380","4956380","4955650","4907720","4837890","4865580","4867910","4685410","4710200","4720520","4671040","4644370","4627820","4660040","4600970","4691430","4633880","4652300","4622330","4638810","4536930","4554690","4557000","4470000","4395000","3949060","4102300","4093020","3983555","3892880","3842570","3763720","3961210","3870760","3717750","3744230","3481190","3426020","3718370","3588950","3624770","3557750","3635190","",
"Austria","AUT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35554","35310","34898","34765","34642","34060","33737","33593","33511","33358","33209","33071","32222","32073","31895","31835","31776","31808","31429","31410","31554","31427","30259","30332","30375","30268","30280","30483","30506","30239","30369","30130","29990","29941","29811","29733","29646","29599","29552","29402","29161","29022","28852.3","28674","28568","28433","28301","28094","27950","27792","27573","27352","27164","27142","27184.5","26701.7","26546.2","26528.3","26512.1","26026.654","25974.594","",
"Azerbaijan","AZE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44566","44860","44891","45262","45887","46821","46924","47404","47456","47449","47546","47549","47586","47560","47565","47567","47573","47668","47687","47683","47698","47697","47698","47730","47775","47795","47797","47801","47806","",
"Burundi","BDI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","15750","15900","16040","16050","16240","16210","16660","16760","18970","18800","18990","19060","20000","20300","20600","20950","21430","21200","21000","20880","20750","20600","20600","20600","20600","20820","20870","20920","20870","20820","20770","20820","20770","20730","20370","19930","19520","19130","18870","18670","18510","18340","18330","18480","18190","18220","18250","18280","18310","18330","18410","18600","18870","19140","19410","19680","19950","20220","20490","20760","21030","",
"Belgium","BEL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","18110","18160","17720","17610","17580","17550","17580","17520","17630","17630","17560","17480","17630","18010","17910","17810","17680","17760","16890","14710","14600","15310","15280","15240","15160","15100","15010","14960","14660","14430","14230","14710","14830","14920","14950","15010","15100","15180","15210","13896","13868","13891","13922","13913","13830","13800","13669","13653","13636","13557","13357","13320","13365","13313","13280","13508","13270","13540","13564.226","13646.093","13656.7","",
"Benin","BEN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","14420","14620","14820","15020","15220","15520","15920","16220","17070","17270","17770","18070","18270","18570","18970","19270","19570","19770","19970","20270","20570","20900","21000","21100","21300","21900","22000","22100","22200","22700","22800","22950","23200","24000","25200","27100","28900","30500","31100","31950","32650","33650","34670","34670","34840","33400","33500","35500","36500","36500","36500","37500","39500","39500","39500","39500","39500","39500","39500","39500","39500","",
"Burkina Faso","BFA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","81390","81490","81590","81690","81790","81900","82000","82100","82220","82360","82200","83020","83730","84530","85360","85850","86350","86850","87350","87850","88350","88850","89350","89850","90350","90850","91400","95640","96000","95750","95500","95250","95000","94310","94500","95500","98500","99700","100660","101630","102630","103610","104580","105710","106830","107900","108910","109995","111120","112420","114130","115390","117250","118500","119860","121020","122170","124130","125190","126140","127400","",
"Bangladesh","BGD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","94800","94770","94800","95200","96370","96500","96950","96690","96750","96970","96950","99910","99890","99890","100040","99980","99910","99870","99830","99870","99810","99780","99640","100600","100270","100410","101150","104270","104430","103860","103200","95490","94460","93580","93740","93270","93650","94340","94860","94000","94030","93530","93280","93230","93110","92800","92660","92530","92460","92410","91280","91230","92780","93200","94342.4","95172.1","95613.3","96273","98720","99280","100680","",
"Bulgaria","BGR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","56730","56850","56930","57720","57930","58020","58630","58810","60220","60100","60090","60220","59820","60380","59550","61980","62060","62110","62060","61810","61790","61820","61770","61720","61690","61660","61660","61620","61680","61590","61610","61540","61210","61590","61640","61640","62030","56450","56790","55820","54980","53250","53260","53300","52650","51900","51160","51010","50300","50520","50880","51230","49950","49770","50119","50210","50295.2","50300","50370","50470","50465.972","",
"Bahrain","BHR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","97.9","96.9","95.8","94.8","93.7","92.7","91.6","90.6","89.5","88.5","87.4","86.4","85.3","84.3","83.2","82.2","81.1","81","81","81","81","",
"Bahamas, The","BHS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","100","100","100","100","100","100","110","110","110","110","110","110","110","110","110","110","120","130","130","130","130","130","130","130","130","130","130","130","",
"Bosnia and Herzegovina","BIH","Agricultural land (sq. km)","AG.LND.AGRI.K2","","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","21900","21800","21750","21700","21650","21600","21050","21300","21260","21230","21690","21694","21570","21590","21490","21300","21280","21440","21510","21560","21610","21570","21760","22090","22280","22110","22160","22420","22630","",
"Belarus","BLR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93910","93540","93460","93390","93330","93060","93070","92810","92520","91280","90250","89860","89570","89490","89580","89160","89170","89270","88980","88750","87960","87112","86239","85742","85327","84940","84530","83870","82810","81740","",
"Belize","BLZ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","790","790","800","800","800","810","810","810","820","820","830","830","840","840","850","850","860","930","940","960","970","970","970","970","1010","1030","1120","1150","1200","1260","1300","1360","1430","1430","1460","1470","1480","1480","1500","1490","1490","1520","1520","1520","1520","1520","1520","1520","1550","1570","1570","1600","1600","1600","1700","1700","1720","1720","1740","1800","1820","",
"Bermuda","BMU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4","3","3","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","",
"Bolivia","BOL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","300420","299420","298070","298780","299150","299510","299880","300240","302610","302970","307340","312700","313080","318430","323800","324160","329530","329890","335250","335620","340990","341360","341730","347170","346870","352030","352270","352500","354700","354550","357960","358310","362130","363510","366000","366840","368740","369820","370690","371430","371560","373110","366470","366170","369620","370985","371960","372815","373670","374525","375440","376405","377380","377488.428","377498.354","377852.311","376715.465","378765.993","379954.219","380076.741","381193.672","",
"Brazil","BRA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1569590","1606660","1643730","1680800","1717870","1754940","1792010","1829080","1866150","1903280","1938340","1973400","2008460","2043520","2078590","2127800","2177010","2226220","2275430","2325172.08","2344138","2363106","2382074","2401042","2419987.07","2405792","2391594","2377396","2363198","2349000","2334802","2320604","2306406","2292208","2278050","2279087","2280124","2281161","2282198","2283235","2284272","2285309","2286346","2287383","2288420","2289510","2296718","2303926","2311134","2318342","2325550","2332758","2339966","2347174","2354382","2361590","2368786","2375018.01","2381244.91","2387470.81","2393695.61","",
"Barbados","BRB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","180","180","180","170","170","160","160","160","160","160","160","150","140","130","125","120","110","100","100","100","100","100","100","",
"Brunei Darussalam","BRN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","210","210","210","240","240","230","230","240","240","240","190","180","180","180","180","170","150","150","150","150","150","140","140","130","130","130","130","130","130","130","130","130","130","130","120","120","120","120","120","120","130","130","130","130","130","123","124","124","134","134","134","134","134","134","134","134","134","134","134","134","134","",
"Bhutan","BTN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3610","3630","3630","3650","3660","3680","3680","3700","3700","3820","3820","3850","3850","3920","3920","3980","4000","4000","4050","4130","4130","4180","4300","4440","4440","4440","4650","4600","4520","4540","5040","5040","5050","5090","5650","5700","5720","5720","5720","5780","5790","5800","5830","5840","5930","5770","5630","5213","5200","5200","5196","5196","5196","5256","5256","5190","5130","5130","5130","5130","5130","",
"Botswana","BWA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","260000","260000","260000","260000","260010","260010","260010","260010","260010","260010","260010","260020","260020","260020","260020","260020","260020","260020","260040","260040","260040","260060","260060","260060","260080","260080","260100","260100","260150","260210","259010","258510","259510","259960","259460","259460","259010","258310","258410","259510","258010","258460","257960","258270","258150","258030","257840","258810","259180","258610","259260","258870","258820","260040","258616","258616","258616","258616","258620","258620","258620","",
"Central African Republic","CAF","Agricultural land (sq. km)","AG.LND.AGRI.K2","","47380","47480","47560","47700","47800","47900","48000","48100","48200","48300","48400","48500","48600","48700","48900","49000","49100","49200","49300","49450","49450","49500","49500","49520","49530","49540","49550","49560","49560","49560","49580","49600","49600","49600","49500","49500","49500","49500","49500","49520","49520","49520","49450","49450","49450","49400","49400","49400","49360","49070","48750","48800","48860","49070","49070","49070","49070","49090","49090","49090","49100","",
"Canada","CAN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","618430","622800","627170","631540","635910","637010","635660","634310","632960","631610","630230","630500","630770","631040","631310","631589.9","627850","624100","620350","616600","612900","612120","611340","610560","609780","608988.92","610250","611510","612770","614030","615332.464","614650","613970","613290","612610","611920","612150","612390","612630","612870","613081.608","620910","619460","618010","616560","605840","600080","594320","588560","582800","576997","577710","578420","579130","579850","580500","578676","578892","576878","571174","569910","",
"Central Europe and the Baltics","CEB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","646680","646360","645740","646120","644720","645000","644230","645220","644240","643470","642960","641710","640360","639950","638840","640980","640430","639740","638610","637680","636270","636070","635970","636460","636310","635950","636280","635770","632060","631840","631610","628120","624860","621440","615910","610780","610260","605100","604520","591050","575370","556442.6","547221.2","539010.9","539333.9","537651.5","526982","529461.7","529073.9","519523.8","521343.5","517581.8","518923.1","518221.4","519245.9","516233.8","515348.6","516300","521123.39","511648.336","510363.028","",
"Switzerland","CHE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","17363","17334","17192","17104","17016","16957","16888","16861","16874","16739","16654","16628","16537","16475","16438","16426","16414","16449","16587.287","16533.566","16489.882","16441.394","16393.05","16344.562","16290.524","16248.017","16199.958","16152.041","16104.266","16050.303","16009.14","15961.788","15914.576","15867.503","15820.57","15783.105","15752.201","15721.444","15688.881","15658.165","15627.446","15597.256","15566.689","15535.559","15504.631","15474.187","15443.686","15410.273","15376.983","15344.107","15311.226","15278.375","15245.633","15212.778","15180.055","15147.463","15116.339","15085.727","15055.158","15024.369","14993.783","",
"Channel Islands","CHI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","90","90","90","90","90","90","90","90","89","89","89","89","88","88","88","88","88","87","87","87","87","87","86","86","86","86","86","85","85","85","85","85","84","84","84","84","81","80","79","79","75","74","74","75","76","84","82","81","88","91.1","96.1","95.6","94.6","95.2","92.6","92.9","92.2","85.7","85.7","85.7","85.7","",
"Chile","CHL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","133860","135560","137260","138980","140690","142380","144580","146780","148480","151000","153500","156000","158380","162500","165500","172000","171000","170000","169000","168500","167500","166000","165500","165000","164720","164360","161630","161540","161690","158990","157890","155560","154770","154500","153300","152320","152220","152190","150600","151100","151500","155650","154250","159350","158850","158000","157320","153654.74","149989.49","146314.22","142648.96","138983.7","135318.45","131653.19","127977.92","124312.67","120647.41","116982.15","113306.88","109641.63","105955.37","",
"China","CHN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3423500","3451000","3479500","3508000","3546000","3582000","3618000","3654000","3700000","3746000","3792500","3838700","3894800","3961000","4007100","4066033.333","4124966.667","4184700","4230375","4276040","4329090","4425180","4529280","4645370","4763470","4824560","4877660","4933750","4994850","5056940","5113790","5143140","5182230","5228330","5228330","5228720","5228722.5","5228725","5228727.5","5228730","5234668.444","5240606.889","5246545.333","5252483.778","5258422.222","5264360.667","5270299.111","5276237.556","5282176","5274623","5267130","5259607","5252084","5244561","5237038","5229515","5221992","5214469","5206950","5206950","5206950","",
"Cote d'Ivoire","CIV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","156800","158800","158800","159800","160800","160800","161500","161500","162000","162000","163000","163100","164400","166250","167150","168400","170800","172100","172250","172550","173700","174900","175840","179010","181800","182800","184000","187200","188200","189300","189500","192000","195020","197000","198000","198000","197000","197000","196000","196000","196000","196000","196000","200000","202000","203000","206000","206000","206000","206000","206000","207000","212000","213500","222000","219000","220000","231500","232300","233000","235000","",
"Cameroon","CMR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","75100","75700","76200","76800","77400","78000","78700","79200","79700","79780","80280","80950","81600","82800","83950","85100","86440","86710","89120","89300","89600","90100","90600","91100","91600","92300","92100","92100","91900","91700","91500","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","92100","92130","92130","92130","92630","93130","97000","97500","97500","97500","97500","97500","97500","97500","97500","97500","97500","97500","",
"Congo, Dem. Rep.","COD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","250500","250700","251000","251300","251500","251700","252000","252500","253000","253500","254000","254500","255000","255500","255500","256000","256300","256500","256500","257000","257500","257700","258000","258500","259000","259500","259500","259500","259500","259600","259800","260000","260000","260000","258000","258000","257000","257000","256000","256000","255500","255500","255500","255500","255500","255860","256500","257000","268870","284290","296360","308860","314300","322490","324500","326720","333210","335940","338300","338950","338980","",
"Congo, Rep.","COG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","105400","105400","105420","105430","105430","105430","105430","105430","105440","105480","105480","105500","105540","105580","105620","105680","105650","105200","105220","105250","105280","105540","105580","105620","105680","105650","105400","105420","105440","105210","105230","105250","105300","105180","105200","105220","105360","105380","105440","105400","105400","105400","105400","105450","105470","105500","105500","105500","105630","105760","105960","106020","106270","106270","106270","106270","106280","106310","106330","106390","106780","",
"Colombia","COL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","399700","409720","414930","419950","430080","430200","430230","430250","430300","430300","450540","450680","450840","450990","451150","451300","453150","452610","452770","452920","453080","453230","453390","453560","453750","453950","454010","452830","451830","450830","448840","449830","449030","448650","445130","449200","450820","455430","456680","448590","417450","416070","420510","423910","425570","421740","424360","426140","425400","425030","417210","426176","448156","448000","447844","447688","434870","440480","443540","440522.78","427180","",
"Comoros","COM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","1000","1000","1000","1000","1000","1000","1100","1100","1100","1130","1140","1140","1140","1150","1150","1180","1200","1220","1240","1260","1260","1270","1280","1300","1310","1320","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","",
"Cabo Verde","CPV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","670","670","680","680","690","690","690","700","700","720","720","720","720","740","750","750","760","760","760","760","780","780","780","790","790","790","790","790","790","790","790","790","790","790","",
"Costa Rica","CRI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13950","14100","14200","14850","15550","16350","16360","17160","17900","18560","18870","18870","20480","20480","21220","22050","22870","23600","24430","25160","25990","26790","26820","27480","26810","26120","25390","24630","23780","21986","22036.18","21600","21130","20950","20480","19950","19530","19150","18880","18400","18330","18260","18290","18220","18050","18150","18000","17930","18160","18190","18190","18120","18010","17850","17915","17770","17810","17825","17760","17860","18110","",
"Caribbean small states","CSS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","22340","22370","22400","22430","22180","22320","22320","22340","22370","22300","22400","22410","22550","22569","22560","22092.417","21644.833","21227.25","20681.667","20187.083","19692.5","19036.917","18321.333","18383","18434.667","18517.333","18640.6","18685.667","18770.733","18884.8","18968.867","19042.933","19398","19351.067","19301.133","19290.2","19201.267","19101.333","19155.4","19153.667","19117.333","18966","19032.667","18927.633","18777","18769.1","18710.2","18568.4","18688.4","18462.4","18474.4","18399.4","18484.4","18520.4","18589.4","18579.4","18569.4","18569.4","18589.4","18609.4","18619.4","",
"Cuba","CUB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35500","38050","40380","47550","45480","45100","46210","47270","47450","50220","50730","55810","58510","56310","58100","59970","60380","59480","58620","59370","59380","60830","61790","61420","62220","64510","67260","67880","67720","67410","67550","67750","67300","66860","66840","66150","66870","66740","66600","65540","66560","66540","66380","65280","66370","66300","66200","65670","65138","64612","64078","64056","63423","62788.8","62403","62267","63000","63000","64010","64010","64010","",
"Curacao","CUW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","",
"Cyprus","CYP","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4040","4020","4050","4030","4020","4000","4010","4010","3990","3980","3960","3940","3942","2870","1803","1779","1761","1743","1725","1715","1759","1820","1830","1820","1628","1632","1624","1614","1614","1606","1592","1596","1587","1434","1431","1432","1422","1442","1442","1415","1400","1400","1540","1560","1670","1570","1472","1156","1276","1145","1163","1169","1088.3","1089.8","1266.8","1093.9","1214.2","1324.469","1253.284","1276.493","1231.349","",
"Czechia","CZE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42820","42840","42800","42800","42800","42840","42820","42800","42780","36520.6","36684.2","36313.9","36054.9","35659.5","35967","35716.1","35458.7","35239.2","35040.4","35258.9","35210","35160","34940","34880","35210","35230","35236.59","35238.71","35297.97","",
"Germany","DEU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","193750","193930","194020","194580","195340","195310","194120","192850","192540","190230","189520","189490","188970","188210","187920","187580","187090","186590","185940","185190","184610","183960","183300","182840","182440","182080","181250","180970","180560","180320","171360","169510","171620","173080","173430","173370","173270","173730","171520","170680","170340","169670","170010","170130","170310","169460","169500","169210","168860","167000","167190","166640","166970","167250","167310","166590","166870","166450","166660","165950","165910","",
"Djibouti","DJI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","12990","13365","13715","14015","14015","14516","14816","15016","15016","15516","16016","16816","17016","17017","17017","17017","17020","17022","17019","17020","17023","17028","17028","17028","17028","17028","17028","17028","17028","17029","17039","17039","",
"Dominica","DMA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","170","180","180","180","180","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","180","180","180","180","180","180","180","170","170","170","170","190","210","220","220","220","220","220","220","220","220","230","250","250","250","250","250","250","250","250","250","250","250","250","",
