"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Georgia","GEO","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1413.32467206181","","","","","","","","","","1348.86491755873","","","","","","","","","","","","","","","1130.1634098862","","","","","","","",
"Ghana","GHA","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3298.2838473911","","","","","","","","","","4195.5921859384","","","","","","","","","","","","","","","5559.5497888859","","","","","","","",
"Gibraltar","GIB","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.398828951639","","","","","","","","","","7.398828951639","","","","","","","","","","","","","","","7.398828951639","","","","","","","",
"Guinea","GIN","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","810.73282096936","","","","","","","","","","1090.31591525","","","","","","","","","","","","","","","1390.66357912241","","","","","","","",
"Gambia, The","GMB","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176.6985472552","","","","","","","","","","258.09768922724","","","","","","","","","","","","","","","338.74891276451","","","","","","","",
"Guinea-Bissau","GNB","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133.1412343813","","","","","","","","","","164.24678315426","","","","","","","","","","","","","","","196.26400685892","","","","","","","",
"Equatorial Guinea","GNQ","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.26024406695","","","","","","","","","","104.61637445089","","","","","","","","","","","","","","","136.73434418639","","","","","","","",
"Greece","GRC","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2370.8795704057","","","","","","","","","","2664.3333004573","","","","","","","","","","","","","","","2748.6634607268","","","","","","","",
"Grenada","GRD","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.09126916462","","","","","","","","","","63.28370897771","","","","","","","","","","","","","","","68.51966222491","","","","","","","",
"Greenland","GRL","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.912475598976","","","","","","","","","","2.5829688655263","","","","","","","","","","","","","","","2.5829688655263","","","","","","","",
"Guatemala","GTM","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1587.44832249959","","","","","","","","","","2177.21079543308","","","","","","","","","","","","","","","2900.62182785529","","","","","","","",
"Guam","GUM","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.92088804301","","","","","","","","","","79.73729674423","","","","","","","","","","","","","","","83.79810474723","","","","","","","",
"Guyana","GUY","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160.317344807576","","","","","","","","","","169.319712959876","","","","","","","","","","","","","","","165.726375442426","","","","","","","",
"High income","HIC","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","427353.492919435","","","","","","","","","","467871.852291313","","","","","","","","","","","","","","","511226.127595964","","","","","","","",
"Hong Kong SAR, China","HKG","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","445.3223398818","","","","","","","","","","484.37334152877","","","","","","","","","","","","","","","516.71372699086","","","","","","","",
"Honduras","HND","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","817.13705643949","","","","","","","","","","1125.80097481509","","","","","","","","","","","","","","","1576.92823835852","","","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39734.9810668831","","","","","","","","","","52662.4923265816","","","","","","","","","","","","","","","72874.9165038583","","","","","","","",
"Croatia","HRV","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1642.07155197418","","","","","","","","","","1624.88270913514","","","","","","","","","","","","","","","1648.41307213538","","","","","","","",
"Haiti","HTI","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1006.2307852477","","","","","","","","","","1205.5777111173","","","","","","","","","","","","","","","1326.1041259626","","","","","","","",
"Hungary","HUN","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3743.427075308","","","","","","","","","","3899.667157369","","","","","","","","","","","","","","","3928.8336649","","","","","","","",
"IBRD only","IBD","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","817716.384822106","","","","","","","","","","985085.341129209","","","","","","","","","","","","","","","1177545.86969764","","","","","","","",
"IDA & IBRD total","IBT","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","956826.865801645","","","","","","","","","","1161903.36358212","","","","","","","","","","","","","","","1416815.69945214","","","","","","","",
"IDA total","IDA","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139110.480979538","","","","","","","","","","176818.022452913","","","","","","","","","","","","","","","239269.829754504","","","","","","","",
"IDA blend","IDB","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40932.2493625448","","","","","","","","","","57299.6364281792","","","","","","","","","","","","","","","88815.3258457323","","","","","","","",
